Language,Condition,Participant,Gender,Total_Freq,Vertical_Big,Lateral_Big,Sagittal_Big,Both_Hands,Shape_Open
Korean,Friend,1,F,91,75,30,0,43,53
Korean,Friend,2,M,62,20,5,0,31,35
Korean,Friend,3,F,89,67,28,1,43,39
Korean,Friend,4,F,30,28,13,0,14,20
Korean,Friend,5,M,33,24,3,0,1,11
Korean,Friend,6,F,26,25,1,0,12,15
Korean,Friend,7,F,63,52,32,0,33,57
Korean,Friend,8,M,51,44,14,1,19,30
Korean,Friend,9,M,67,66,15,0,15,58
Korean,Friend,10,M,61,51,33,0,26,42
Korean,Friend,11,M,31,27,2,0,4,7
Korean,Friend,12,F,63,53,15,0,41,35
Korean,Friend,13,F,22,14,12,0,13,12
Korean,Superior,1,F,76,71,16,0,37,41
Korean,Superior,2,M,37,1,0,0,22,16
Korean,Superior,3,F,49,46,15,0,32,42
Korean,Superior,4,F,30,27,11,0,23,24
Korean,Superior,5,M,11,6,0,0,0,2
Korean,Superior,6,F,13,9,0,0,6,7
Korean,Superior,7,F,62,57,34,0,27,52
Korean,Superior,8,M,27,11,1,0,15,23
Korean,Superior,9,M,49,33,10,0,31,46
Korean,Superior,10,M,61,59,24,0,31,39
Korean,Superior,11,M,16,14,0,0,0,7
Korean,Superior,12,F,42,34,3,0,33,27
Korean,Superior,13,F,10,4,0,0,8,6
Catalan,Friend,1,M,61,39,19,0,36,40
Catalan,Friend,2,F,31,25,13,0,16,28
Catalan,Friend,3,M,81,73,28,1,28,51
Catalan,Friend,4,M,32,10,3,0,17,23
Catalan,Friend,5,F,39,32,16,0,16,39
Catalan,Friend,6,F,35,26,7,0,8,29
Catalan,Friend,7,F,88,70,47,0,43,69
Catalan,Friend,8,F,59,37,14,0,32,41
Catalan,Friend,9,M,22,8,2,0,0,15
Catalan,Friend,11,F,61,46,12,0,33,57
Catalan,Friend,12,M,58,55,24,1,43,58
Catalan,Friend,13,M,101,73,33,2,66,72
Catalan,Friend,14,M,56,49,20,0,14,45
Catalan,Friend,16,F,40,24,19,6,12,36
Catalan,Superior,1,M,78,60,13,0,49,60
Catalan,Superior,2,F,40,31,16,0,17,20
Catalan,Superior,3,M,49,45,19,0,7,19
Catalan,Superior,4,M,49,7,2,0,14,31
Catalan,Superior,5,F,32,29,9,0,3,26
Catalan,Superior,6,F,30,20,10,0,3,19
Catalan,Superior,7,F,73,51,30,0,43,41
Catalan,Superior,8,F,47,29,6,0,32,34
Catalan,Superior,9,M,13,5,1,0,0,6
Catalan,Superior,11,F,73,42,7,0,56,57
Catalan,Superior,12,M,51,43,14,0,36,43
Catalan,Superior,13,M,82,52,31,0,34,32
Catalan,Superior,14,M,74,62,19,0,17,45
Catalan,Superior,16,F,43,36,19,0,2,20